,time,open,high,low,close,volume,ticker
0,2014-05-20,8440,8490,8380,8440,464210,CTG
1,2014-05-21,8670,8850,8610,8850,575560,CTG
2,2014-05-22,8730,8850,8610,8610,482210,CTG
3,2014-05-23,8670,8730,8610,8670,151990,CTG
4,2014-05-26,8610,8670,8560,8610,260610,CTG
5,2014-05-27,8670,8790,8610,8730,523080,CTG
6,2014-05-28,8790,8850,8730,8730,323250,CTG
7,2014-05-29,8730,8790,8730,8730,309790,CTG
8,2014-05-30,8730,8790,8670,8790,233090,CTG
9,2014-06-02,8850,8850,8670,8730,208430,CTG
10,2014-06-03,8730,8730,8610,8610,127840,CTG
11,2014-06-04,8670,8670,8560,8560,221210,CTG
12,2014-06-05,8560,8610,8500,8610,149210,CTG
13,2014-06-06,8610,8610,8560,8610,123700,CTG
14,2014-06-09,8610,8730,8560,8670,307390,CTG
15,2014-06-10,8560,8670,8560,8560,267910,CTG
16,2014-06-11,8560,8610,8560,8610,105820,CTG
17,2014-06-12,8610,8670,8610,8610,472840,CTG
18,2014-06-13,8610,8730,8560,8670,268700,CTG
19,2014-06-16,8730,8730,8610,8610,189300,CTG
20,2014-06-17,8610,8670,8610,8670,145730,CTG
21,2014-06-18,8670,8730,8670,8730,384560,CTG
22,2014-06-19,8670,8730,8610,8670,238390,CTG
23,2014-06-20,8670,8670,8610,8670,203700,CTG
24,2014-06-23,8610,8670,8610,8670,108700,CTG
25,2014-06-24,8670,8730,8610,8730,348350,CTG
26,2014-06-25,8670,8730,8670,8670,206200,CTG
27,2014-06-26,8610,8730,8610,8610,400430,CTG
28,2014-06-27,8610,8670,8560,8610,152870,CTG
29,2014-06-30,8610,8670,8560,8560,324720,CTG
30,2014-07-01,8560,8610,8500,8610,253680,CTG
31,2014-07-02,8610,8610,8500,8560,306790,CTG
32,2014-07-03,8560,8670,8560,8670,445310,CTG
33,2014-07-04,8670,8730,8610,8670,476310,CTG
34,2014-07-07,8670,8730,8610,8670,334300,CTG
35,2014-07-08,8670,8730,8610,8670,450930,CTG
36,2014-07-09,8670,8730,8610,8730,351780,CTG
37,2014-07-10,8670,8730,8610,8610,464290,CTG
38,2014-07-11,8670,8670,8560,8610,255060,CTG
39,2014-07-14,8670,8670,8610,8670,99620,CTG
40,2014-07-15,8670,8730,8610,8670,420890,CTG
41,2014-07-16,8730,8790,8670,8670,460700,CTG
42,2014-07-17,8670,8730,8610,8610,213390,CTG
43,2014-07-18,8610,8790,8610,8730,542890,CTG
44,2014-07-21,8730,8790,8610,8670,348410,CTG
45,2014-07-22,8670,8670,8610,8610,208540,CTG
46,2014-07-23,8670,8670,8610,8610,94260,CTG
47,2014-07-24,8610,8790,8610,8730,548350,CTG
48,2014-07-25,8670,8730,8610,8610,289720,CTG
49,2014-07-28,8610,8670,8560,8610,303680,CTG
50,2014-07-29,8610,8610,8560,8610,169860,CTG
51,2014-07-30,8560,8670,8560,8560,187060,CTG
52,2014-07-31,8560,8670,8560,8670,169480,CTG
53,2014-08-01,8670,8670,8610,8670,187800,CTG
54,2014-08-04,8610,8670,8610,8610,259070,CTG
55,2014-08-05,8610,8670,8560,8670,254720,CTG
56,2014-08-06,8670,8670,8610,8610,122680,CTG
57,2014-08-07,8610,8670,8560,8610,94090,CTG
58,2014-08-08,8610,8670,8560,8610,221280,CTG
59,2014-08-11,8610,8670,8610,8610,194320,CTG
60,2014-08-12,8560,8670,8560,8610,204510,CTG
61,2014-08-13,8610,8670,8560,8610,256380,CTG
62,2014-08-14,8610,8670,8560,8610,242900,CTG
63,2014-08-15,8610,8670,8560,8610,389270,CTG
64,2014-08-18,8610,8610,8560,8560,289510,CTG
65,2014-08-19,8560,8670,8560,8560,255530,CTG
66,2014-08-20,8560,8610,8560,8560,285330,CTG
